id,date,estimated_arrival_time,scheduled_arrival_time,terminal,gate,baggage,plane
B6358,2018-04-24,05:52 am,06:00 am,5,9,,Airbus
B61248,2018-04-24,05:56 am,06:00 am,5,29,,Airbus
AV42,2018-04-24,06:00 am,06:00 am,4,-,,Airbus
AM400,2018-04-24,05:46 am,06:00 am,4,-,,Boeing
DL1155,2018-04-24,05:51 am,06:00 am,2,C66,E2,Boeing
AS426,2018-04-24,06:07 am,06:04 am,7,5,,Boeing
4O2994,2018-04-24,06:10 am,06:10 am,7,-,,Airbus
DL1202,2018-04-24,06:09 am,06:16 am,4,B33,T4,Boeing
B6960,2018-04-24,06:09 am,06:18 am,5,28,,Airbus
DL472,2018-04-24,05:54 am,06:20 am,4,B35,T4,Boeing
AA950,2018-04-24,06:06 am,06:20 am,8,4,3,Boeing
DL1798,2018-04-24,06:11 am,06:25 am,4,B36,T4,Boeing
AA974,2018-04-24,06:20 am,06:35 am,8,16,2,Boeing
B6162,2018-04-24,06:12 am,06:36 am,5,8,,Airbus
B6670,2018-04-24,07:06 am,06:38 am,5,12,,Airbus
SA203,2018-04-24,06:36 am,06:40 am,4,-,,Airbus
B6917,2018-04-24,06:26 am,06:43 am,5,5,,Embraer
B6185,2018-04-24,06:41 am,06:51 am,5,17,,Embraer
B61206,2018-04-24,06:51 am,06:54 am,5,23,,Airbus
HA50,2018-04-24,06:54 am,06:55 am,5,30A,,Airbus
B62001,2018-04-24,06:47 am,06:57 am,5,21,,Embraer
B6168,2018-04-24,06:32 am,06:57 am,5,10,,Airbus
DL1057,2018-04-24,06:40 am,06:58 am,4,B22,T4,Boeing
7L777,2018-04-24,07:00 am,07:00 am,-,-,,Boeing
B62807,2018-04-24,06:44 am,07:00 am,5,2,,Embraer
AA276,2018-04-24,06:26 am,07:00 am,8,41,8,Airbus
CX888,2018-04-24,07:01 am,07:00 am,8,-,,Boeing
B6233,2018-04-24,06:38 am,07:01 am,5,20,,Embraer
AA28,2018-04-24,06:58 am,07:03 am,8,44,7,Airbus
DL2590,2018-04-24,07:15 am,07:04 am,4,B39,T4,Boeing
9E4041,2018-04-24,06:52 am,07:10 am,4,B48,T4,Canadair
9E5148,2018-04-24,06:59 am,07:15 am,4,B46,T4,Canadair
JJ8080,2018-04-24,07:15 am,07:15 am,8,-,,Airbus
B6136,2018-04-24,07:26 am,07:15 am,5,5,,Airbus
DL1908,2018-04-24,07:32 am,07:20 am,4,B41,T4,Boeing
LH8221,2018-04-24,06:41 am,07:20 am,-,-,,Boeing
DL2477,2018-04-24,07:22 am,07:20 am,4,B35,T4,Boeing
9E3421,2018-04-24,07:08 am,07:23 am,4,B55,T4,Canadair
9E5051,2018-04-24,07:05 am,07:24 am,4,B47,T4,Canadair
9E5235,2018-04-24,07:19 am,07:24 am,4,B53,T4,Canadair
DL2471,2018-04-24,07:19 am,07:25 am,2,C63,E1,Airbus
AI101,2018-04-24,07:25 am,07:25 am,4,-,,Boeing
9E3391,2018-04-24,07:07 am,07:25 am,4,B44,E1,Canadair
9E3427,2018-04-24,07:18 am,07:25 am,4,B42,T4,Canadair
DL2521,2018-04-24,09:12 am,07:25 am,4,B28,T4,Boeing
AA1457,2018-04-24,07:19 am,07:27 am,8,38,8,Boeing
9E5194,2018-04-24,07:05 am,07:29 am,4,B43,T4,Canadair
AA954,2018-04-24,07:21 am,07:34 am,8,3,3,Boeing
AX4324,2018-04-24,07:42 am,07:38 am,8,32G,9,Embraer
9E3974,2018-04-24,07:12 am,07:39 am,4,B51,T4,Canadair
B61678,2018-04-24,07:46 am,07:39 am,5,16,,Airbus
MQ3750,2018-04-24,07:51 am,07:40 am,8,32H,9,Embraer
9E3464,2018-04-24,07:25 am,07:45 am,4,B49,T4,Canadair
9E5003,2018-04-24,07:56 am,07:45 am,4,B45,T4,Canadair
B6746,2018-04-24,07:47 am,07:51 am,5,22,,Airbus
VX1034,2018-04-24,07:36 am,07:58 am,7,-,,Airbus
AS1034,2018-04-24,07:36 am,07:58 am,-,-,,Airbus
VX1420,2018-04-24,08:03 am,07:59 am,7,-,,Airbus
AS1420,2018-04-24,08:06 am,07:59 am,-,-,,Airbus
B6436,2018-04-24,07:47 am,08:00 am,5,26,,Airbus
LA532,2018-04-24,08:09 am,08:10 am,8,-,,Boeing
B680,2018-04-24,07:52 am,08:12 am,5,1,,Airbus
B61208,2018-04-24,08:10 am,08:14 am,5,2,,Embraer
3V10,2018-04-24,08:15 am,08:15 am,-,-,,Boeing
AA18,2018-04-24,07:54 am,08:20 am,8,39,7,Airbus
DL1362,2018-04-24,08:22 am,08:25 am,4,B38,T4,Boeing
AA241,2018-04-24,07:59 am,08:27 am,8,35,8,Boeing
B61504,2018-04-24,08:15 am,08:29 am,5,21,,Airbus
9E5284,2018-04-24,08:07 am,08:30 am,4,B46,T4,Canadair
B61010,2018-04-24,08:09 am,08:30 am,5,29,,Airbus
