dispatch_time tabu_time diff_mins
9:57:00 9:52:00 5
9:27:00 9:23:00 4
9:03:00 9:03:00 0
9:34:00 9:29:00 5
9:56:00 9:52:00 4
9:37:00 9:35:00 2
9:35:00 9:35:00 0
9:45:00 9:45:00 0
8:56:00 8:56:00 0
9:04:00 9:03:00 1
9:30:00 9:30:00 0
8:47:00 8:47:00 0
9:53:00 9:44:00 9
9:53:00 9:53:00 0
9:08:00 8:56:00 12
8:35:00 8:35:00 0
8:42:00 8:39:00 3
9:51:00 9:51:00 0
9:27:00 9:19:00 8
9:24:00 9:24:00 0
8:47:00 8:47:00 0
9:08:00 9:08:00 0
9:05:00 9:05:00 0
8:44:00 8:44:00 0
10:04:00 10:04:00 0
8:22:00 8:22:00 0
9:34:00 9:26:00 8
9:38:00 9:38:00 0
8:40:00 8:38:00 2
8:53:00 8:53:00 0
8:44:00 8:43:00 1
9:03:00 9:03:00 0
9:08:00 9:08:00 0
9:15:00 9:15:00 0
9:35:00 9:31:00 4
9:08:00 9:07:00 1
8:50:00 8:49:00 1
9:04:00 9:01:00 3
9:09:00 9:07:00 2
9:38:00 9:38:00 0
8:51:00 8:51:00 0
9:11:00 9:11:00 0
9:13:00 9:10:00 3
9:35:00 9:20:00 15
9:05:00 9:05:00 0
9:41:00 9:39:00 2
8:29:00 8:29:00 0
9:21:00 9:17:00 4
8:20:00 8:16:00 4
8:48:00 8:35:00 13
8:43:00 8:34:00 9
9:39:00 9:37:00 2
9:30:00 9:17:00 13
9:11:00 9:11:00 0
8:50:00 8:49:00 1
9:07:00 9:05:00 2
9:09:00 9:03:00 6
8:44:00 8:41:00 3
8:58:00 8:49:00 9
9:25:00 9:23:00 2
9:03:00 9:03:00 0
9:25:00 9:25:00 0
9:34:00 9:30:00 4
9:33:00 9:21:00 12
8:58:00 8:58:00 0
8:53:00 8:51:00 2
9:26:00 9:23:00 3
8:39:00 8:39:00 0
9:14:00 9:06:00 8
8:41:00 8:41:00 0
9:08:00 9:03:00 5
9:12:00 9:06:00 6
9:27:00 9:27:00 0
9:42:00 9:42:00 0
9:23:00 9:23:00 0
9:36:00 9:27:00 9
9:35:00 9:24:00 11
9:00:00 8:57:00 3
9:20:00 9:20:00 0
8:42:00 8:37:00 5
9:10:00 9:10:00 0
9:06:00 8:57:00 9
9:12:00 9:10:00 2
9:14:00 9:14:00 0
9:25:00 9:24:00 1
9:34:00 9:34:00 0
8:40:00 8:40:00 0
9:12:00 9:04:00 8
9:54:00 9:41:00 13
9:15:00 9:13:00 2
9:30:00 9:24:00 6
9:14:00 9:14:00 0
9:17:00 9:17:00 0
8:43:00 8:38:00 5
8:55:00 8:49:00 6
9:48:00 9:48:00 0
9:19:00 9:19:00 0
9:00:00 8:59:00 1
9:29:00 9:28:00 1
9:09:00 9:09:00 0
